AOA	Std Dev	Variance	Mean	Median
-4.05	2.4706034742808457e-05	6.103881527128585e-10	0.0034270678341076664	0.003422885204511
-2.00	1.7667004778052342e-05	3.1212305782772433e-10	0.0022800083571142887	0.002279564350098
0.05	1.7255623578579615e-05	2.9775654508563276e-10	0.0019317778159124084	0.001929712824974
1.98	1.855319962475595e-05	3.442212163160444e-10	0.0022708023578498506	0.002270261514867
4.18	2.6318854178227317e-05	6.926820852547935e-10	0.0035390220704364164	0.003541719731885
6.20	2.9749703397805563e-05	8.850448522574039e-10	0.005744438008104001	0.0057458011670005
8.22	2.849214603177575e-05	8.118023854960347e-10	0.009339444404641215	0.009340088622951
10.18	3.188776980407671e-05	1.0168298630777865e-09	0.014608187749620652	0.014605605580669999
11.08	4.173371098071096e-05	1.7417026322215143e-09	0.01776163505466873	0.01776148022705
12.25	5.878397305832388e-05	3.4555554885217476e-09	0.02268948086033935	0.02269320525242
13.10	8.276047034461311e-05	6.849295451661587e-09	0.026906854893505205	0.026910959360644998
14.28	0.0001158369936529135	1.3418209098545122e-08	0.033769885991794896	0.03378284465075
15.20	0.00016418146833623671	2.6955554545042696e-08	0.039972498771419784	0.03998145788693
16.18	0.000212836923099431	4.529955583443311e-08	0.047504824108556255	0.047507382887185
16.90	0.0002360441433760552	5.57168376221357e-08	0.05363266080493878	0.0536765500816
17.35	0.0002926289921958727	8.563172707357213e-08	0.057704055624041496	0.05771296188726
17.65	0.00031432350095235624	9.879926325094588e-08	0.06052478688047801	0.06054085630395
18.65	0.0003705438451892921	1.373027412076661e-07	0.0706022422656591	0.07058177549824
