AOA	Std Dev	Variance	Mean	Median
-4.05	0.08764548582780045	0.007681731185991169	-0.49780715069406667	-0.4960955368997
-2.0	0.10002990080315766	0.01000598105468956	-0.223003228161311	-0.21582657574085
0.05	0.08682740517912943	0.007538998290140712	0.017132082266255566	0.011037965489513
1.98	0.09032529975291606	0.008158659775454137	0.23469072081864634	0.23658232362665
4.18	0.08382909161050603	0.007027316600242611	0.4914342375400467	0.50154446426875
6.2	0.0695972385419338	0.004843775612662835	0.7670965935354316	0.7541310523653499
8.22	0.07849024129316207	0.0061607179782588025	0.9879954998149767	0.98669418355675
10.18	0.07611055606991174	0.005792816745271178	1.2044861700759	1.215964599811
11.08	0.07571092862901295	0.0057321447138674935	1.2876026457721832	1.2848830327905
12.25	0.07218347391354095	0.005210453906226847	1.3977251978933833	1.394140777791
13.1	0.07017996235748039	0.004925227116497364	1.4692301866423334	1.476446309899
14.28	0.06707485042055703	0.004499035558940099	1.5885680409665	1.5983408632795
15.2	0.048767908177085914	0.0023783088679686835	1.6662058626183835	1.6715390594605002
16.18	0.04295353437946054	0.0018450061156874984	1.7329308912012167	1.7339009659945002
16.9	0.04058059273952218	0.0016467845070909602	1.7677273719882332	1.7681598096964999
17.35	0.03139081547822588	0.0009853832963880253	1.7928233388523003	1.7928386035025001
17.65	0.034805429772319284	0.0012114179416358498	1.7959970147799835	1.7973709380685001
18.65	0.03059879618277069	0.000936286327834742	1.8248776841048502	1.824262976734
