AOA	Std Dev	Variance	Mean	Median
-4.05	2.3692607725208078e-05	5.613396608205895e-10	0.0034285919335586518	0.003431359206705
-2.00	1.8428986348104105e-05	3.396275378186074e-10	0.002280847255493521	0.0022785141960035
0.05	1.7144492129556494e-05	2.9393361038042454e-10	0.00193289871625813	0.0019308466492125001
1.98	1.883181695203908e-05	3.5463732971510656e-10	0.0022694623995054694	0.002269658330482
4.18	2.3747974566373235e-05	5.6396629600511e-10	0.003541074578639646	0.0035402345227025
6.20	2.4463556159979116e-05	5.984655799924522e-10	0.005744710481999896	0.005741524156613
8.22	2.416548902631177e-05	5.839708598807946e-10	0.00933884672253434	0.0093424386800355
10.18	3.151872698743476e-05	9.934301509084484e-10	0.01461675472280021	0.01461508370764
11.08	4.1466480634689335e-05	1.7194690162270659e-09	0.01776315492068456	0.017765611198799998
12.25	5.6592404741614426e-05	3.2027002744387027e-09	0.022672944418406886	0.02267158355756
13.10	8.707387751162403e-05	7.581860144909304e-09	0.026890705621002438	0.02689666109786
14.28	0.00011874211870253631	1.4099690753967223e-08	0.033757497365917384	0.033768530206495
15.20	0.0001643635314832148	2.7015370481633746e-08	0.03996907358478127	0.03996753574907
16.18	0.0002254882223348883	5.084493841174802e-08	0.047498794912827234	0.04749960255277
16.90	0.00024441475641619724	5.973857315398903e-08	0.05362372094829327	0.053622427185825
17.35	0.0002911857825600937	8.478915996513418e-08	0.05770263690111509	0.05776348677938
17.65	0.0003288332162905774	1.0813128413600566e-07	0.06052647494672584	0.0605331538158
18.65	0.0003595399031305158	1.292689419431007e-07	0.07058032892000271	0.07053445451533
