AOA	Std Dev	Variance	Mean	Median
-4.05	2.3831568492867682e-05	5.679436568302436e-10	0.0034285919335586513	0.003431359206705
-2.00	1.8529967851128796e-05	3.4335970856386674e-10	0.0022808472554935216	0.0022785141960035
0.05	1.7238435255409195e-05	2.9716365005493473e-10	0.0019328987162581304	0.0019308466492125001
1.98	1.89286392712372e-05	3.5829338466062314e-10	0.0022694623995054694	0.002269658330482
4.18	2.387263670672931e-05	5.699027833314796e-10	0.0035410745786396457	0.0035402345227025
6.20	2.4591974659969526e-05	6.047652176765833e-10	0.005744710481999896	0.005741524156613
8.22	2.430397433785381e-05	5.906831686150566e-10	0.009338846722534341	0.0093424386800355
10.18	3.168418075935837e-05	1.0038873103916952e-09	0.014616754722800208	0.01461508370764
11.08	4.169369592806147e-05	1.7383642801416495e-09	0.017763154920684567	0.017765611198799998
12.25	5.6909451506588167e-05	3.2386856707807105e-09	0.02267294441840689	0.02267158355756
13.10	8.756169016607517e-05	7.667049584739745e-09	0.026890705621002445	0.02689666109786
14.28	0.0001193927653193619	1.4254632410604227e-08	0.03375749736591739	0.033768530206495
15.20	0.0001652448435996566	2.7305858336274973e-08	0.03996907358478128	0.03996753574907
16.18	0.00022669728313241044	5.1391658179616266e-08	0.047498794912827234	0.04749960255277
16.90	0.0002457540253807576	6.039504099084606e-08	0.05362372094829326	0.053622427185825
17.35	0.00029274711162129125	8.570087136260876e-08	0.05770263690111511	0.05776348677938
17.65	0.0003305593867666483	1.0926950817954257e-07	0.06052647494672583	0.0605331538158
18.65	0.000361427264671282	1.3062966764776493e-07	0.07058032892000271	0.07053445451533
