AOA	Std Dev	Variance	Mean	Median
-4.05	2.484444498401131e-05	6.172464465635648e-10	0.003427067834107667	0.003422885204511
-2.00	1.776598036916269e-05	3.156300584774741e-10	0.0022800083571142887	0.002279564350098
0.05	1.7344342022388982e-05	3.0082620018960837e-10	0.0019317778159124081	0.001929712824974
1.98	1.8652681301016546e-05	3.4792251971729234e-10	0.002270802357849851	0.002270261514867
4.18	2.6457011842343357e-05	6.999734756258966e-10	0.003539022070436417	0.003541719731885
6.20	2.9905870892855023e-05	8.943611138601134e-10	0.005744438008104	0.0057458011670005
8.22	2.8644920027896643e-05	8.205314434045942e-10	0.009339444404641213	0.009340088622951
10.18	3.2062498617810546e-05	1.0280038176171032e-09	0.014608187749620652	0.014605605580669999
11.08	4.195748583404657e-05	1.7604306175142186e-09	0.017761635054668722	0.01776148022705
12.25	5.9099170883786645e-05	3.4927119991510147e-09	0.02268948086033936	0.02269320525242
13.10	8.31949114941604e-05	6.921393298521183e-09	0.026906854893505208	0.026910959360644998
14.28	0.00011645810799085243	1.3562490916809045e-08	0.033769885991794896	0.03378284465075
15.20	0.0001650618042357772	2.724539921757003e-08	0.039972498771419784	0.03998145788693
16.18	0.00021395418496554175	4.5776393264269246e-08	0.04750482410855625	0.047507382887185
16.90	0.00023725774594308353	5.6291238009992766e-08	0.053632660804938774	0.0536765500816
17.35	0.0002941980597020105	8.655249833242774e-08	0.05770405562404149	0.05771296188726
17.65	0.00031608443070233177	9.990936733241719e-08	0.060524786880478	0.06054085630395
18.65	0.00037261973731535713	1.3884546863696573e-07	0.07060224226565912	0.07058177549824
