AOA	Std Dev	Variance	Mean	Median
-4.05	2.4602404625842776e-05	6.052783133736901e-10	0.0034256560720067023	0.003420561386984
-2.00	1.9415579531172552e-05	3.769647285312866e-10	0.002280614979660587	0.0022793067835095
0.05	1.7301147866540463e-05	2.9932971749989766e-10	0.0019327782281329787	0.001931151037954
1.98	1.8945124279370424e-05	3.5891773396079074e-10	0.0022703571168043403	0.002270882552991
4.18	2.4978689848566638e-05	6.239349465508859e-10	0.0035400246669324894	0.003543377573731
6.20	2.7586810474364887e-05	7.610321121485282e-10	0.005744322271436289	0.005747161639863
8.22	3.117246156797323e-05	9.71722360206768e-10	0.00934459140714587	0.009339738110817
10.18	2.848486635589815e-05	8.113876113133784e-10	0.014617886273811276	0.01461426160583
11.08	4.406854387580291e-05	1.942036559333566e-09	0.01776990257011979	0.01776830583942
12.25	5.706583759091779e-05	3.256509819953006e-09	0.022686781752142393	0.02268389248515
13.10	8.888720468385802e-05	7.900935156510071e-09	0.02689825092567447	0.02688914101682
14.28	0.00012339655655738932	1.5226710170220983e-08	0.033754531657369184	0.03374629080079
15.20	0.00016393608660487198	2.6875040491320085e-08	0.03999408379427826	0.03999814060358
16.18	0.00024149119444760814	5.8317996995732485e-08	0.04748913045526689	0.04749092794383
16.90	0.0002657215141101719	7.060792306100226e-08	0.05359827861365163	0.05360226772824
17.35	0.00029842065362668775	8.905488651097954e-08	0.057683281978906736	0.05768044058609
17.65	0.0002992283278041862	8.953759216048952e-08	0.06052773166729792	0.060526620631965
18.65	0.0003831833200142164	1.4682945673711738e-07	0.07061731075888282	0.070661613176175
