AOA	Std Dev	Variance	Mean	Median
-4.05	0.0005887453760317876	3.46621117798811e-07	0.0036332208190526663	0.003482273231474
-2.0	0.00031977198072283253	1.0225411965540359e-07	0.0023913271509267333	0.002339086867025
0.05	0.00012020005722691851	1.4448053757354485e-08	0.00202428120665645	0.002021824698558
1.98	0.00031858000737121334	1.0149322109664236e-07	0.0023957468472294	0.0023845950523565
4.18	0.0006446830397798622	4.1561622177980343e-07	0.00370690189960055	0.003611624799094
6.2	0.000912596585330943	8.328325275576971e-07	0.005782659626306716	0.005578926510368
8.22	0.0015905301462011436	2.529786145974631e-06	0.00980663087251095	0.010001911483453
10.18	0.002164100379211415	4.68333045130299e-06	0.015358053647271667	0.015880116673925
11.08	0.0031094835586311935	9.668888001397711e-06	0.01822287163020234	0.018051468166435
12.25	0.0030051923185751704	9.03118087162321e-06	0.024004634957744166	0.023852224238885
13.1	0.004196857057850328	1.7613609164028108e-05	0.028256783123182503	0.027679180585985
14.28	0.004843738686404501	2.34618044621716e-05	0.03447755673788084	0.03424807016176
15.2	0.00604915211188371	3.659224127270715e-05	0.041426813732627674	0.040196525157169996
16.18	0.006071701954954999	3.686556462980436e-05	0.0469411444422995	0.046602927513134995
16.9	0.00665761224414745	4.432380079342204e-05	0.05347071584898967	0.053312211328945
17.35	0.007673149236817066	5.887721921046632e-05	0.05955195486254584	0.05919819182336
17.65	0.007752076508287919	6.009469019034941e-05	0.06202711952689251	0.061986975597995
18.65	0.007745793909847641	5.999732329383281e-05	0.069780246196613	0.06944314285321501
