AOA	Std Dev	Variance	Mean	Median
-4.05	2.4471190865594444e-05	5.98839182380353e-10	0.003425656072006702	0.003420561386984
-2.00	1.930977177052747e-05	3.7286728582985957e-10	0.0022806149796605873	0.0022793067835095
0.05	1.7208874419993023e-05	2.961453588030902e-10	0.0019327782281329787	0.001931151037954
1.98	1.88440828961043e-05	3.5509946019525057e-10	0.00227035711680434	0.002270882552991
4.18	2.484546921948778e-05	6.172973407365148e-10	0.0035400246669324894	0.003543377573731
6.20	2.7433122312112458e-05	7.525761997913223e-10	0.005744322271436287	0.005747161639863
8.22	3.1002583128495976e-05	9.611601606393034e-10	0.009344591407145868	0.009339738110817
10.18	2.833294598544775e-05	8.027558282142998e-10	0.014617886273811274	0.01461426160583
11.08	4.383350996596554e-05	1.9213765959364e-09	0.017769902570119785	0.01776830583942
12.25	5.675484978470079e-05	3.2211129740839516e-09	0.02268678175214239	0.02268389248515
13.10	8.841313621201927e-05	7.816882654845073e-09	0.026898250925674473	0.02688914101682
14.28	0.00012276536798563062	1.50713355766473e-08	0.033754531657369184	0.03374629080079
15.20	0.000163042695285559	2.6582920485979643e-08	0.03999408379427826	0.03999814060358
16.18	0.00024014582913583043	5.767001925133546e-08	0.04748913045526689	0.04749092794383
16.90	0.00026417210431805215	6.978690069982783e-08	0.053598278613651636	0.05360226772824
17.35	0.0002968941952602557	8.814616317923484e-08	0.05768328197890673	0.05768044058609
17.65	0.0002976657671093835	8.860490890881776e-08	0.06052773166729791	0.060526620631965
18.65	0.00038109511198817435	1.4523348438127915e-07	0.07061731075888282	0.070661613176175
