AOA	Std Dev	Variance	Mean	Median
-4.05	0.0013616281269643428	1.8540311561404244e-06	-0.49031903093784446	-0.4905021683776
-2.00	0.0011956055281530321	1.429472578950091e-06	-0.24242287342993557	-0.2424918769103
0.05	0.0013223430084048963	1.7485910318773115e-06	0.006015857371042796	0.005739593976413
1.98	0.0013429451843196903	1.8035017680874469e-06	0.2403501791493298	0.2404012806452
4.18	0.0011679050306922455	1.364002160716255e-06	0.5055743275568063	0.5055568636264001
6.20	0.0012477525091462575	1.5568863240807816e-06	0.7459722925638645	0.7460877260579499
8.22	0.0011715165867739973	1.3724511130865968e-06	0.9799308661776893	0.9798392556653
10.18	0.001068195037605187	1.1410406383643472e-06	1.1976070335790217	1.1976366438665
11.08	0.0010679402471094092	1.1404963713961058e-06	1.2931077824404469	1.293074325078
12.25	0.0010720914104101627	1.149379992275252e-06	1.411882137438	1.412099032774
13.10	0.0009003994310724632	8.107191354756154e-07	1.4930363599281875	1.4929525482625001
14.28	0.0009659981897213386	9.331525025449034e-07	1.5970742739737447	1.597105819432
15.20	0.0012643971520865042	1.5987001582044623e-06	1.6690372466892767	1.669065879744
16.18	0.0019097172830319419	3.647020101110902e-06	1.735403303829	1.735578975131
16.90	0.002593792150254632	6.7277577187225466e-06	1.775640583036204	1.775360957419
17.35	0.002938595889946889	8.63534580441275e-06	1.7967034473414256	1.796508614854
17.65	0.003385398117634853	1.1460920414885606e-05	1.8088179871778223	1.808822678166
18.65	0.004971188329606008	2.471271340841097e-05	1.8357245627656222	1.835179998867
