AOA	Std Dev	Variance	Mean	Median
-4.05	0.0011461310581974344	1.3136164025647709e-06	-0.49030753185771064	-0.4901924239701
-2.00	0.0011455693298837676	1.3123290895703444e-06	-0.24263648386474349	-0.2428230216031
0.05	0.001216785991621737	1.480568149406894e-06	0.006261918342887808	0.006311034607677
1.98	0.0009159005825207563	8.388738770618609e-07	0.24023698447816808	0.2402675211007
4.18	0.0010709773499949836	1.1469924842022774e-06	0.5055076578767723	0.5054911040985
6.20	0.001262458689806538	1.5938019434680406e-06	0.7460246931575467	0.7460567802118
8.22	0.0012111891750016615	1.4669792176412054e-06	0.9802684978137	0.97998134373935
10.18	0.0010146159535330535	1.0294455331637873e-06	1.197954820665447	1.197959541058
11.08	0.001185454575350185	1.4053025502186877e-06	1.2933463609464682	1.293429939026
12.25	0.0009146015341961189	8.364959663538944e-07	1.4118784330648262	1.4119433267880002
13.10	0.0009346989217397238	8.736620743014023e-07	1.4929422783879363	1.492877546123
14.28	0.0010420648053267219	1.085899058500619e-06	1.5967858937564898	1.596893994982
15.20	0.0012424138456819456	1.5435921639422013e-06	1.669187366194261	1.669150684468
16.18	0.0017690708796093114	3.1296117770816624e-06	1.7353318758389555	1.735467809225
16.90	0.0025874576653951045	6.694937170211885e-06	1.7756986299920465	1.775319104515
17.35	0.002916672542581865	8.506978720650963e-06	1.7965806740993469	1.796509316245
17.65	0.003402823955474587	1.1579210871951715e-05	1.80870799808875	1.8084899540085
18.65	0.004949189028738533	2.449447204218586e-05	1.8357199223427174	1.835457651848
