AOA	Std Dev	Variance	Mean	Median
-4.05	0.0011098829018768275	1.2318400558785277e-06	-0.49036573241536047	-0.490509231408
-2.00	0.0012735732295412442	1.6219887710041146e-06	-0.2425073812271826	-0.2423898835642
0.05	0.0011453197030346753	1.311757222159437e-06	0.0062659149510725	0.006141998565954
1.98	0.00112514516304299	1.2659516379190365e-06	0.24026718661230204	0.2401444964995
4.18	0.0012750457229292406	1.6257415955601498e-06	0.5057134354450312	0.50548288520785
6.20	0.0011044179945291987	1.219739106639897e-06	0.7460563983407374	0.7461024867923001
8.22	0.0010634402475422488	1.1309051600927191e-06	0.9799778749168727	0.97981016969485
10.18	0.001129254144551556	1.2752149229868662e-06	1.1979166736793334	1.1978069011830002
11.08	0.001094801165073098	1.1985895910454127e-06	1.2931566011450217	1.2932270623355
12.25	0.0008962547377246419	8.032725548938666e-07	1.411603273680511	1.41150405125
13.10	0.0009944620786550642	9.88954825882951e-07	1.4928600851304668	1.492843470454
14.28	0.001128787661664064	1.2741615851250253e-06	1.5969686461062826	1.5969626507355001
15.20	0.0013244583546188331	1.754189933119627e-06	1.6690225954288724	1.66914437837
16.18	0.0017608634289340904	3.100640015357522e-06	1.7355092686202553	1.735351293527
16.90	0.002627401407729698	6.903238157339999e-06	1.7757082125172174	1.775615089877
17.35	0.0029953985146999353	8.972412261866578e-06	1.7966528628885958	1.796540096212
17.65	0.00318719544620497	1.0158214812309698e-05	1.808694542310125	1.8084867266884999
18.65	0.004802360215215995	2.3062663636689415e-05	1.8358670470096874	1.8356932537795
